customerkey,FirstName,LastName,MiddleName,AddressLine1,AddressLine2,City,StateProvinceCode,StateProvinceName,EnglishCountryRegionName,CountryRegionCode,PostalCode,Phone,maritalstatus,EmailAddress,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer,ClothingBuyer,AccessoryBuyer,ComponentBuyer
16896,Natalie,Perez,NULL,867 Maria Vega Court,NULL,El Cajon,CA,California,United States,US,92020,186-555-0118,Married,natalie55@adventure-works.com,Female,40000,3,0,Partial College,Professional,0,2,5-10 Miles,North America,57,1,0,1,0
16897,Lauren,Torres,A,3421 Bouncing Road,NULL,Los Angeles,CA,California,United States,US,90012,572-555-0185,Single,lauren14@adventure-works.com,Female,40000,3,0,Partial College,Professional,1,2,5-10 Miles,North America,52,1,1,0,0
16898,Angel,Reed,W,7207 Sycamore Dr.,NULL,West Covina,CA,California,United States,US,91791,820-555-0121,Married,angel19@adventure-works.com,Male,40000,3,0,Partial College,Professional,0,2,5-10 Miles,North America,52,1,1,0,0
16899,Whitney,Sanchez,C,5543 Royal Arch Court,NULL,Burien,WA,Washington,United States,US,98168,361-555-0177,Married,whitney19@adventure-works.com,Female,110000,2,3,Graduate Degree,Management,0,4,2-5 Miles,North America,72,0,0,1,0
16900,Miguel,Jones,R,8352 Turning View Cricle Drive,NULL,San Diego,CA,California,United States,US,92102,947-555-0134,Married,miguel2@adventure-works.com,Male,120000,2,4,Graduate Degree,Management,1,3,5-10 Miles,North America,72,0,0,1,0
16901,Ricky,Munoz,NULL,2594 Breaker Dr,NULL,Concord,CA,California,United States,US,94519,291-555-0126,Married,ricky7@adventure-works.com,Male,130000,2,3,Bachelors,Management,1,4,2-5 Miles,North America,72,0,0,1,0
16902,Shawn,She,J,330 Camino Verde,NULL,Burnaby,BC,British Columbia,Canada,CA,V3J 6Z3,118-555-0190,Single,shawn2@adventure-works.com,Male,90000,5,0,Bachelors,Management,1,2,5-10 Miles,North America,71,0,1,1,0
16903,Ian,Wright,P,4113 Pershing Dr,NULL,Santa Cruz,CA,California,United States,US,95062,502-555-0164,Single,ian26@adventure-works.com,Male,110000,2,4,Graduate Degree,Management,1,0,5-10 Miles,North America,71,0,0,1,0
16904,Arianna,Bailey,G,1671 F St.,NULL,Grossmont,CA,California,United States,US,91941,169-555-0177,Married,arianna38@adventure-works.com,Female,110000,2,4,Graduate Degree,Management,1,0,5-10 Miles,North America,71,0,0,1,0
16905,Janet,Stewart,R,1551 Happy Valley Road,NULL,Imperial Beach,CA,California,United States,US,91932,673-555-0165,Married,janet31@adventure-works.com,Female,130000,2,3,Bachelors,Management,1,4,2-5 Miles,North America,72,0,0,1,0
16906,Brittany,Flores,NULL,6310 Jamie Way,NULL,Oak Bay,BC,British Columbia,Canada,CA,V8P,367-555-0114,Married,brittany11@adventure-works.com,Female,170000,1,1,Graduate Degree,Management,1,4,2-5 Miles,North America,71,1,0,1,0
16907,Sarah,Hall,J,8836 First Ave.,NULL,National City,CA,California,United States,US,91950,195-555-0135,Single,sarah1@adventure-works.com,Female,80000,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,71,1,0,1,0
16908,Kristi,Patel,C,507 Sahara Drive,NULL,Burien,WA,Washington,United States,US,98168,308-555-0116,Single,kristi19@adventure-works.com,Female,80000,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,70,1,1,1,0
16909,Chloe,Walker,M,2547 San Ramon Road,NULL,Long Beach,CA,California,United States,US,90802,607-555-0151,Married,chloe32@adventure-works.com,Female,90000,5,0,Bachelors,Management,1,2,5-10 Miles,North America,70,1,0,1,0
16910,Ryan,Diaz,J,6058 Foothill Way,NULL,Cliffside,BC,British Columbia,Canada,CA,V8Y 1L1,332-555-0195,Married,ryan25@adventure-works.com,Male,120000,2,4,Graduate Degree,Management,1,3,5-10 Miles,North America,70,0,1,1,0
16911,Caleb,Patterson,NULL,482 ViewPoint Court,NULL,Everett,WA,Washington,United States,US,98201,757-555-0160,Married,caleb7@adventure-works.com,Male,90000,5,0,Bachelors,Management,1,2,5-10 Miles,North America,69,0,1,1,0
16912,Dalton,Patterson,A,6670 Brook St.,NULL,Olympia,WA,Washington,United States,US,98501,164-555-0118,Married,dalton56@adventure-works.com,Male,90000,5,0,Bachelors,Management,0,2,1-2 Miles,North America,70,1,1,1,0
16913,Marcus,Flores,NULL,1453 Asilomar Dr.,NULL,Salem,OR,Oregon,United States,US,97301,807-555-0178,Single,marcus62@adventure-works.com,Male,100000,2,3,Graduate Degree,Management,1,3,5-10 Miles,North America,69,0,1,1,0
16914,Alexandra,Campbell,K,6939 Hilltop Dr.,NULL,Puyallup,WA,Washington,United States,US,98371,353-555-0139,Married,alexandra49@adventure-works.com,Female,100000,3,0,Bachelors,Management,1,3,0-1 Miles,North America,41,1,0,1,0
16915,Mason,Phillips,NULL,5279 Glenwood Dr.,NULL,Walla Walla,WA,Washington,United States,US,99362,124-555-0175,Married,mason26@adventure-works.com,Male,100000,3,0,Bachelors,Management,1,3,0-1 Miles,North America,36,1,0,1,0
16916,Cheryl,Dominguez,M,5313 Haynes Court,NULL,Bluffton,SC,South Carolina,United States,US,29910,271-555-0119,Single,cheryl15@adventure-works.com,Female,110000,1,1,Graduate Degree,Management,0,2,1-2 Miles,North America,41,1,1,1,0
16917,Brett,Subram,B,8237 Gibrix Dr.,NULL,Beverly Hills,CA,California,United States,US,90210,172-555-0150,Married,brett12@adventure-works.com,Male,120000,1,1,Bachelors,Management,1,4,0-1 Miles,North America,42,0,0,1,0
16918,Alexandria,Cox,L,8534 Willow Pass Road,NULL,Tacoma,WA,Washington,United States,US,98403,836-555-0131,Single,alexandria32@adventure-works.com,Female,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,30,0,1,1,0
16920,Eduardo,Stewart,NULL,7036 Las Quebrados Ln.,NULL,Torrance,CA,California,United States,US,90505,276-555-0114,Married,eduardo89@adventure-works.com,Male,60000,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,31,1,0,0,0
16921,Edwin,Jai,NULL,3962 Clyde Street,NULL,Calgary,AB,Alberta,Canada,CA,T2P 2G8,198-555-0136,Married,edwin34@adventure-works.com,Male,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,31,1,1,0,0
16922,Emma,Jackson,F,8581 Paris Lane,NULL,Bellingham,WA,Washington,United States,US,98225,191-555-0172,Single,emma11@adventure-works.com,Female,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,32,0,1,1,0
16923,Connor,Gonzales,M,4672 Euclid Ave,NULL,Kirkland,WA,Washington,United States,US,98033,187-555-0111,Single,connor11@adventure-works.com,Male,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,31,0,0,1,0
16924,Julia,Price,A,5888 Salem St.,NULL,Concord,CA,California,United States,US,94519,649-555-0115,Single,julia66@adventure-works.com,Female,60000,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,31,1,1,0,0
16925,Spencer,Patterson,W,1069 Ahwanee Lane,NULL,Daly City,CA,California,United States,US,94015,394-555-0170,Single,spencer12@adventure-works.com,Male,60000,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,31,1,0,1,0
16947,Savannah,Stewart,K,7357 Scramble Road,NULL,Santa Cruz,CA,California,United States,US,95062,924-555-0117,Married,savannah24@adventure-works.com,Female,50000,1,1,Bachelors,Skilled Manual,1,0,2-5 Miles,North America,34,1,0,1,0
16948,Emma,Lee,NULL,1105 O St.,NULL,Shawnee,BC,British Columbia,Canada,CA,V8Z 4N5,329-555-0193,Married,emma21@adventure-works.com,Female,50000,1,1,Bachelors,Skilled Manual,1,1,0-1 Miles,North America,34,0,1,1,0
16949,Luis,Flores,NULL,7781 Santa Barbara Rd,NULL,Lemon Grove,CA,California,United States,US,91945,821-555-0180,Married,luis11@adventure-works.com,Male,50000,1,1,Bachelors,Skilled Manual,1,1,2-5 Miles,North America,34,1,1,1,0
16950,Connor,Edwards,NULL,8526 Krueger Drive,NULL,Metchosin,BC,British Columbia,Canada,CA,V9,119-555-0182,Married,connor30@adventure-works.com,Male,50000,1,1,Bachelors,Skilled Manual,1,1,0-1 Miles,North America,39,0,1,1,0
16951,Cassidy,Bennett,A,7689 Gumwood,NULL,Everett,WA,Washington,United States,US,98201,233-555-0188,Married,cassidy1@adventure-works.com,Female,50000,1,1,Bachelors,Skilled Manual,1,1,2-5 Miles,North America,39,1,0,1,0
16952,Thomas,Martin,A,8348 Holiday Hill Dr.,NULL,Newton,BC,British Columbia,Canada,CA,V2L3W8,211-555-0119,Married,thomas76@adventure-works.com,Male,50000,1,1,Bachelors,Skilled Manual,1,1,2-5 Miles,North America,33,1,0,1,0
16953,Paige,Ward,NULL,6673 Eola,NULL,El Cajon,CA,California,United States,US,92020,225-555-0121,Married,paige36@adventure-works.com,Female,60000,1,0,Graduate Degree,Professional,1,0,2-5 Miles,North America,39,0,1,1,0
16954,Fernando,Davis,NULL,7986 Terra Calitina,NULL,Bellingham,WA,Washington,United States,US,98225,651-555-0165,Single,fernando5@adventure-works.com,Male,60000,1,0,Graduate Degree,Professional,1,0,2-5 Miles,North America,39,0,1,1,0
16955,Nathaniel,Bradley,NULL,3679 Diablo View Road,NULL,Metchosin,BC,British Columbia,Canada,CA,V9,145-555-0167,Married,nathaniel15@adventure-works.com,Male,50000,2,2,Bachelors,Skilled Manual,1,0,2-5 Miles,North America,40,1,1,1,0
16956,Austin,Flores,J,6940 Hilltop Dr,NULL,Yakima,WA,Washington,United States,US,98901,690-555-0141,Married,austin8@adventure-works.com,Male,50000,2,2,Bachelors,Skilled Manual,1,0,2-5 Miles,North America,35,1,0,0,0
16957,Seth,Wilson,E,9563 Lani Kai Drive,NULL,Tacoma,WA,Washington,United States,US,98403,619-555-0115,Married,seth7@adventure-works.com,Male,60000,1,0,Graduate Degree,Professional,1,0,0-1 Miles,North America,40,0,0,1,0
16958,Pedro,Torres,E,1409 Coachman Pl.,NULL,Cliffside,BC,British Columbia,Canada,CA,V8Y 1L1,580-555-0194,Married,pedro32@adventure-works.com,Male,60000,1,0,Graduate Degree,Professional,1,0,2-5 Miles,North America,32,0,1,1,0
16959,Carson,Foster,L,1713 Alvarado,NULL,Royal Oak,BC,British Columbia,Canada,CA,V8X,527-555-0115,Married,carson15@adventure-works.com,Male,60000,1,0,Graduate Degree,Professional,1,0,2-5 Miles,North America,39,0,1,1,0
16960,Paige,Gray,NULL,3929 Fern Street,NULL,Lebanon,OR,Oregon,United States,US,97355,630-555-0145,Married,paige29@adventure-works.com,Female,60000,1,0,Graduate Degree,Professional,1,0,2-5 Miles,North America,38,0,0,1,0
16961,Faith,Perry,NULL,2290 Mt. Hood Circle,NULL,Colma,CA,California,United States,US,94014,224-555-0119,Married,faith7@adventure-works.com,Female,70000,2,0,Graduate Degree,Professional,1,0,0-1 Miles,North America,33,1,1,1,0
16962,Zachary,Coleman,NULL,4263 San Ysidro Court,NULL,Fremont,CA,California,United States,US,94536,579-555-0134,Married,zachary4@adventure-works.com,Male,60000,1,0,Graduate Degree,Professional,1,0,0-1 Miles,North America,40,0,1,1,0
16963,Faith,Hughes,S,8017 Roanoke Drive,NULL,Mill Valley,CA,California,United States,US,94941,279-555-0196,Married,faith10@adventure-works.com,Female,60000,1,0,Graduate Degree,Professional,1,0,0-1 Miles,North America,35,0,0,1,0
16964,Gavin,Wood,NULL,5696 Morgan Territory Rd.,NULL,Langford,BC,British Columbia,Canada,CA,V9,696-555-0114,Married,gavin2@adventure-works.com,Male,60000,1,0,Graduate Degree,Professional,1,0,0-1 Miles,North America,40,0,0,1,0
16965,Kristi,Romero,D,4485 Mt. Orange Place,NULL,Chula Vista,CA,California,United States,US,91910,375-555-0175,Single,kristi4@adventure-works.com,Female,70000,2,2,Bachelors,Skilled Manual,0,1,0-1 Miles,North America,42,0,0,1,0
16966,Amanda,Diaz,S,8083 Ridgewood Drive,NULL,Lincoln Acres,CA,California,United States,US,91950,931-555-0154,Married,amanda43@adventure-works.com,Female,40000,5,5,High School,Skilled Manual,0,3,10+ Miles,North America,42,0,0,1,0
16967,Noah,Hernandez,NULL,3648 Hedaro Court,NULL,Oregon City,OR,Oregon,United States,US,97045,180-555-0137,Single,noah45@adventure-works.com,Male,70000,3,0,Graduate Degree,Professional,1,0,2-5 Miles,North America,40,1,0,1,0
16968,Ian,Griffin,NULL,6522 Panoramic Dr.,NULL,San Diego,CA,California,United States,US,92102,849-555-0119,Single,ian61@adventure-works.com,Male,80000,2,0,Graduate Degree,Professional,1,0,0-1 Miles,North America,40,1,1,1,0
16969,Jackson,Turner,NULL,4246 Falls Ct.,NULL,Santa Monica,CA,California,United States,US,90401,618-555-0131,Married,jackson35@adventure-works.com,Male,80000,2,0,Graduate Degree,Professional,1,0,0-1 Miles,North America,39,1,0,1,0
16970,Katherine,Foster,NULL,7479 Ellis Street,NULL,Redmond,WA,Washington,United States,US,98052,554-555-0116,Single,katherine42@adventure-works.com,Female,50000,2,2,Bachelors,Skilled Manual,1,1,2-5 Miles,North America,37,1,1,0,0
16971,Alexia,Bryant,L,1947 El Mundo Dr,NULL,Issaquah,WA,Washington,United States,US,98027,863-555-0120,Single,alexia14@adventure-works.com,Female,50000,2,2,Bachelors,Skilled Manual,0,1,0-1 Miles,North America,42,0,1,1,0
16972,Lucas,Hernandez,NULL,5958 Cross Road,NULL,Lake Oswego,OR,Oregon,United States,US,97034,205-555-0120,Single,lucas41@adventure-works.com,Male,50000,2,2,Bachelors,Skilled Manual,1,1,2-5 Miles,North America,32,1,1,0,0
16973,Katherine,Collins,NULL,8422 Castle Rock,NULL,Bellflower,CA,California,United States,US,90706,610-555-0182,Single,katherine51@adventure-works.com,Female,50000,2,2,Bachelors,Skilled Manual,1,1,2-5 Miles,North America,43,1,0,1,0
16974,Paige,Rivera,NULL,5267 Counting Drive,NULL,Burien,WA,Washington,United States,US,98168,411-555-0124,Single,paige41@adventure-works.com,Female,50000,2,2,Bachelors,Skilled Manual,1,1,2-5 Miles,North America,37,1,0,1,0
16975,Benjamin,Lee,NULL,3656 N. Michell Canyon Rd.,NULL,Salem,OR,Oregon,United States,US,97301,463-555-0118,Married,benjamin37@adventure-works.com,Male,60000,3,3,Bachelors,Skilled Manual,1,0,2-5 Miles,North America,43,0,1,1,0
16976,Sandra,Xu,A,8039 Westcliffe Pl.,NULL,Berkeley,CA,California,United States,US,94704,851-555-0174,Single,sandra19@adventure-works.com,Female,60000,3,3,Bachelors,Skilled Manual,0,0,0-1 Miles,North America,44,1,1,1,0
16977,Noah,Adams,B,6738 Wallace Dr.,NULL,El Cajon,CA,California,United States,US,92020,780-555-0167,Single,noah41@adventure-works.com,Male,60000,0,0,Graduate Degree,Professional,1,0,2-5 Miles,North America,43,1,0,1,0
16978,Jeremy,Rivera,NULL,7176 A St.,NULL,Tacoma,WA,Washington,United States,US,98403,990-555-0185,Married,jeremy37@adventure-works.com,Male,60000,0,0,Graduate Degree,Professional,1,0,0-1 Miles,North America,44,0,0,1,0
16979,Kaitlyn,Rogers,J,7826 W. Hookston Road,NULL,Lincoln Acres,CA,California,United States,US,91950,597-555-0139,Single,kaitlyn49@adventure-works.com,Female,70000,4,0,Graduate Degree,Professional,1,0,2-5 Miles,North America,43,1,0,1,0
16980,Jill,Moore,NULL,4379 Lakeside Court,NULL,Tacoma,WA,Washington,United States,US,98403,126-555-0139,Married,jill5@adventure-works.com,Female,70000,4,0,Graduate Degree,Professional,1,0,2-5 Miles,North America,44,0,0,1,0
16981,Hunter,Simmons,NULL,3397 C Olivera Rd,NULL,Lake Oswego,OR,Oregon,United States,US,97034,898-555-0192,Married,hunter12@adventure-works.com,Male,70000,5,0,Graduate Degree,Professional,1,0,0-1 Miles,North America,40,1,0,1,0
16982,Jillian,Lopez,NULL,1706 Vallejo,NULL,Beverly Hills,CA,California,United States,US,90210,887-555-0150,Married,jillian17@adventure-works.com,Female,70000,5,5,Graduate Degree,Professional,1,2,0-1 Miles,North America,35,0,1,1,0
16983,Gabriel,Collins,L,1040 Northridge Road,NULL,Woodland Hills,CA,California,United States,US,91364,562-555-0115,Married,gabriel32@adventure-works.com,Male,80000,3,0,Graduate Degree,Professional,1,0,0-1 Miles,North America,41,1,0,1,0
16984,Rodney,Moreno,I,7585 St. George Dr,NULL,Concord,CA,California,United States,US,94519,265-555-0159,Single,rodney2@adventure-works.com,Male,40000,0,0,Bachelors,Professional,1,1,2-5 Miles,North America,39,1,1,0,0
16985,Adam,Li,NULL,2022 Highridge Court,NULL,Oregon City,OR,Oregon,United States,US,97045,497-555-0140,Single,adam23@adventure-works.com,Male,80000,3,3,Bachelors,Skilled Manual,1,1,2-5 Miles,North America,39,0,1,1,0
16986,Sara,Adams,A,7503 Hill Drive,NULL,Milwaukie,OR,Oregon,United States,US,97222,516-555-0113,Single,sara42@adventure-works.com,Female,80000,3,3,Bachelors,Skilled Manual,1,1,2-5 Miles,North America,45,0,1,1,0
16987,Miguel,Clark,D,3244 E Eagle Peak Rd.,NULL,Port Hammond,BC,British Columbia,Canada,CA,V6B 3P7,188-555-0182,Single,miguel19@adventure-works.com,Male,80000,3,3,Bachelors,Skilled Manual,1,2,2-5 Miles,North America,45,1,0,1,0
16988,Brian,Bailey,R,9013 Ramsay Circle,NULL,Oakland,CA,California,United States,US,94611,621-555-0190,Single,brian27@adventure-works.com,Male,80000,3,3,Bachelors,Skilled Manual,0,2,0-1 Miles,North America,39,0,0,1,0
16989,Emma,Richardson,NULL,3499 Parkway Drive,NULL,Everett,WA,Washington,United States,US,98201,849-555-0148,Single,emma36@adventure-works.com,Female,80000,3,3,Bachelors,Skilled Manual,1,2,2-5 Miles,North America,39,1,0,0,0
16990,Zachary,Griffin,NULL,7173 Oak Creek Ct,NULL,San Diego,CA,California,United States,US,92102,914-555-0183,Married,zachary19@adventure-works.com,Male,60000,0,0,Graduate Degree,Professional,1,0,0-1 Miles,North America,44,0,0,1,0
16991,Brianna,Henderson,C,1961 Marfargoa Drive,NULL,Edmonds,WA,Washington,United States,US,98020,808-555-0149,Single,brianna51@adventure-works.com,Female,60000,4,4,Bachelors,Skilled Manual,1,2,2-5 Miles,North America,45,0,0,1,0
16992,Lucas,Watson,NULL,595 Clayton Rd.,NULL,Chula Vista,CA,California,United States,US,91910,947-555-0187,Single,lucas71@adventure-works.com,Male,60000,4,4,Bachelors,Skilled Manual,1,2,2-5 Miles,North America,34,0,0,1,0
16993,Russell,Rai,A,1442 Hill Top Rd,NULL,Beaverton,OR,Oregon,United States,US,97005,146-555-0117,Married,russell20@adventure-works.com,Male,60000,4,4,Bachelors,Skilled Manual,1,3,5-10 Miles,North America,40,0,0,1,0
16994,Deanna,Torres,E,2383 Pepper Drive,NULL,Concord,CA,California,United States,US,94519,199-555-0158,Single,deanna38@adventure-works.com,Female,60000,5,5,Bachelors,Skilled Manual,1,1,2-5 Miles,North America,45,0,0,1,0
16995,Taylor,Hall,J,4769 Detroit Avenue,NULL,Shawnee,BC,British Columbia,Canada,CA,V8Z 4N5,765-555-0160,Single,taylor70@adventure-works.com,Female,60000,5,5,Bachelors,Skilled Manual,1,3,5-10 Miles,North America,45,1,0,1,0
16996,Destiny,Walker,M,5878 East L Street,NULL,Royal Oak,BC,British Columbia,Canada,CA,V8X,923-555-0167,Single,destiny21@adventure-works.com,Female,60000,5,5,Bachelors,Skilled Manual,1,3,2-5 Miles,North America,45,1,1,0,0
16997,Natalie,Allen,NULL,6647 McDandy St.,NULL,Santa Monica,CA,California,United States,US,90401,318-555-0118,Single,natalie66@adventure-works.com,Female,60000,4,2,Bachelors,Skilled Manual,0,2,0-1 Miles,North America,45,1,1,0,0
16998,Jennifer,Lopez,D,3355 Carpetta Circle,NULL,Bremerton,WA,Washington,United States,US,98312,774-555-0126,Single,jennifer24@adventure-works.com,Female,60000,4,2,Bachelors,Skilled Manual,0,2,0-1 Miles,North America,40,1,0,1,0
16999,Chloe,Kelly,M,6206 Heavenly Drive,NULL,West Covina,CA,California,United States,US,91791,135-555-0183,Single,chloe64@adventure-works.com,Female,60000,4,2,Bachelors,Skilled Manual,0,2,0-1 Miles,North America,40,1,0,1,0
17000,Miranda,Henderson,M,39 Mt. Etna Drive,NULL,Chula Vista,CA,California,United States,US,91910,796-555-0155,Single,miranda5@adventure-works.com,Female,70000,4,2,Bachelors,Skilled Manual,1,2,2-5 Miles,North America,46,1,0,0,0
17001,Ashley,Moore,F,7675 Marcia Drive,NULL,Sedro Woolley,WA,Washington,United States,US,98284,947-555-0143,Single,ashley8@adventure-works.com,Female,70000,4,2,Bachelors,Skilled Manual,0,2,0-1 Miles,North America,46,1,0,1,0
17002,Dylan,Martin,NULL,9444 Warmcastle Ct.,NULL,Oregon City,OR,Oregon,United States,US,97045,489-555-0118,Single,dylan44@adventure-works.com,Male,70000,4,2,Bachelors,Professional,1,2,2-5 Miles,North America,40,1,0,1,0
17003,Joanna,Dominguez,M,757 Ptarmigan Drive,NULL,Berkeley,CA,California,United States,US,94704,625-555-0168,Single,joanna11@adventure-works.com,Female,70000,4,2,Bachelors,Professional,0,2,0-1 Miles,North America,46,1,1,1,0
17004,Krista,Torres,L,2603 Brenda Circle,NULL,Beverly Hills,CA,California,United States,US,90210,494-555-0118,Single,krista12@adventure-works.com,Female,70000,4,2,Bachelors,Professional,1,2,2-5 Miles,North America,35,1,1,1,0
17005,Priscilla,Anand,R,8623 Merry Circle,NULL,Chula Vista,CA,California,United States,US,91910,861-555-0153,Single,priscilla21@adventure-works.com,Female,70000,4,2,Bachelors,Professional,1,2,0-1 Miles,North America,47,1,1,1,0
17006,Hunter,Williams,J,4908 Chickpea Ct.,NULL,Woodburn,OR,Oregon,United States,US,97071,457-555-0119,Married,hunter61@adventure-works.com,Male,70000,4,2,Bachelors,Professional,1,2,0-1 Miles,North America,47,1,1,1,0
17007,Samuel,Hayes,NULL,2446 Farm Bureau Rd,NULL,Daly City,CA,California,United States,US,94015,673-555-0152,Single,samuel22@adventure-works.com,Male,70000,0,0,Bachelors,Professional,0,1,2-5 Miles,North America,41,1,0,1,0
17008,Connor,Turner,NULL,401 Jomar,NULL,National City,CA,California,United States,US,91950,691-555-0182,Single,connor34@adventure-works.com,Male,70000,0,0,Bachelors,Professional,0,1,2-5 Miles,North America,41,1,0,1,0
17009,Wyatt,Butler,NULL,2066 Napa Court,NULL,National City,CA,California,United States,US,91950,361-555-0116,Single,wyatt64@adventure-works.com,Male,70000,0,0,Bachelors,Professional,1,1,2-5 Miles,North America,41,1,0,1,0
17010,Brianna,James,NULL,1880 Birchwood,NULL,San Gabriel,CA,California,United States,US,91776,564-555-0115,Single,brianna43@adventure-works.com,Female,70000,0,0,Bachelors,Professional,1,1,2-5 Miles,North America,41,1,1,1,0
17011,Sara,Hill,K,8805 Wiget Lane,NULL,Spring Valley,CA,California,United States,US,91977,398-555-0151,Married,sara39@adventure-works.com,Female,60000,2,2,Graduate Degree,Professional,1,0,2-5 Miles,North America,36,1,1,0,0
17012,Joan,Collins,NULL,9841 Marsh Meadow Way,NULL,Lakewood,CA,California,United States,US,90712,633-555-0185,Married,joan12@adventure-works.com,Female,60000,3,2,Graduate Degree,Professional,1,0,2-5 Miles,North America,46,1,1,0,0
17013,Gabriella,Mitchell,L,7459 Rolando Avenue,NULL,Salem,OR,Oregon,United States,US,97301,150-555-0182,Single,gabriella34@adventure-works.com,Female,70000,1,0,Bachelors,Professional,0,1,0-1 Miles,North America,48,1,1,1,0
17014,Michael,Harris,NULL,475 Santa Maria,NULL,Santa Cruz,CA,California,United States,US,95062,833-555-0154,Single,michael45@adventure-works.com,Male,70000,1,0,Bachelors,Professional,1,1,2-5 Miles,North America,41,0,0,1,0
17015,Kelly,Patterson,NULL,238 Montego,NULL,Tacoma,WA,Washington,United States,US,98403,445-555-0121,Single,kelly15@adventure-works.com,Female,70000,1,0,Bachelors,Professional,1,1,2-5 Miles,North America,47,0,0,1,0
17016,Hailey,Hughes,R,1159 LaCrosse Ave,NULL,San Francisco,CA,California,United States,US,94109,843-555-0191,Single,hailey31@adventure-works.com,Female,70000,1,0,Bachelors,Professional,0,1,2-5 Miles,North America,47,0,1,1,0
17017,Jeremiah,Jones,NULL,6938 Hilltop Dr,NULL,Puyallup,WA,Washington,United States,US,98371,789-555-0110,Married,jeremiah26@adventure-works.com,Male,70000,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,North America,47,1,0,1,0
17018,Mandy,Guo,NULL,3987 Spring Water St.,NULL,Cedar Park,TX,Texas,United States,US,78613,780-555-0110,Married,mandy19@adventure-works.com,Female,40000,4,3,High School,Skilled Manual,1,3,2-5 Miles,North America,43,0,1,1,0
17019,Andrea,Hall,C,3270 Temple Drive,NULL,Beaverton,OR,Oregon,United States,US,97005,570-555-0155,Married,andrea44@adventure-works.com,Female,40000,4,3,High School,Skilled Manual,1,4,2-5 Miles,North America,37,0,1,1,0
17020,Ashley,Bryant,J,4642 Canyon Creek Drive,NULL,Edmonds,WA,Washington,United States,US,98020,640-555-0110,Married,ashley45@adventure-works.com,Female,40000,4,2,High School,Skilled Manual,1,2,2-5 Miles,North America,48,1,0,1,0
17021,Nicole,Reed,NULL,4904 Hillview Drive,NULL,La Jolla,CA,California,United States,US,92806,110-555-0150,Married,nicole29@adventure-works.com,Female,60000,1,0,Partial College,Skilled Manual,1,1,2-5 Miles,North America,48,1,0,0,0
17022,Karen,Morgan,NULL,7185 Westcliffe Place,NULL,San Gabriel,CA,California,United States,US,91776,134-555-0150,Married,karen34@adventure-works.com,Female,60000,1,0,Partial College,Skilled Manual,1,1,2-5 Miles,North America,43,1,1,0,0
17023,Jeremiah,Harris,B,7400 Robinson Street,NULL,Victoria,BC,British Columbia,Canada,CA,V8V,711-555-0113,Married,jeremiah5@adventure-works.com,Male,60000,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,North America,44,1,0,1,0
17024,Jacqueline,Diaz,C,9121 Pinnacle Drive,NULL,Lemon Grove,CA,California,United States,US,91945,185-555-0142,Married,jacqueline22@adventure-works.com,Female,60000,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,North America,49,1,1,1,0
17025,Ryan,Taylor,NULL,4434 Yosemite Circle,NULL,Haney,BC,British Columbia,Canada,CA,V2W 1W2,156-555-0110,Single,ryan48@adventure-works.com,Male,50000,0,0,Partial College,Skilled Manual,0,1,2-5 Miles,North America,42,1,1,0,0
17026,Jordan,Li,NULL,6122 Orange St,NULL,Port Hammond,BC,British Columbia,Canada,CA,V6B 3P7,179-555-0120,Single,jordan22@adventure-works.com,Male,50000,0,0,Partial College,Skilled Manual,0,1,0-1 Miles,North America,42,0,1,1,0
17027,Brianna,Taylor,NULL,6257 Jennifer Way,NULL,Westminster,BC,British Columbia,Canada,CA,V3L 1H4,107-555-0171,Single,brianna7@adventure-works.com,Female,50000,0,0,Partial College,Skilled Manual,0,1,0-1 Miles,North America,42,0,1,1,0
17028,Grace,Richardson,A,1368 Palms Drive,NULL,Renton,WA,Washington,United States,US,98055,723-555-0160,Married,grace35@adventure-works.com,Female,60000,1,0,Partial College,Skilled Manual,1,1,2-5 Miles,North America,38,1,1,0,0
17029,Suzanne,Xu,E,9681 VistaView Way,NULL,Burbank,CA,California,United States,US,91502,739-555-0198,Married,suzanne13@adventure-works.com,Female,60000,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,North America,38,1,1,0,0
17030,Emily,Russell,NULL,2630 Deermeadow Way,NULL,Los Angeles,CA,California,United States,US,90012,107-555-0193,Married,emily45@adventure-works.com,Female,60000,1,0,Partial College,Skilled Manual,1,1,2-5 Miles,North America,45,1,0,0,0
